term,definition,business_explanation
Indemnification,One party compensates another for losses.,Provides financial protection against claims or damages.
Governing Law,Specifies which jurisdiction's laws apply.,Determines which laws and courts govern disputes.
Non-Compete,Restricts working for competitors for a period.,Protects business interests and trade secrets.
Confidentiality,Requires protection of sensitive information.,Prevents unauthorized disclosure of information.
Limitation of Liability,Caps potential damages recoverable.,Limits financial exposure in disputes.
Termination,Defines how a contract can end.,Explains rights and obligations when ending the agreement.
Intellectual Property Assignment,Transfers ownership of created IP.,Ensures ownership of inventions and work products.
Force Majeure,Excuses performance during extraordinary events.,Protects parties from events beyond their control.
Notice Period,Required advance notice before certain actions.,Provides time to prepare for contract changes.
Arbitration,Disputes resolved outside court.,Alternative dispute resolution mechanism.
